Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
101,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Maximum Product Subarray in an Array",Hard,"https://leetcode.com/problems/maximum-product-subarray/",""
102,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Search X in sorted array",Easy,"https://leetcode.com/problems/binary-search/","https://youtu.be/MHf6awe89xw"
103,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Lower Bound ",Easy,"","https://youtu.be/6zhGS79oQ4k"
104,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Upper Bound",Easy,"","https://youtu.be/6zhGS79oQ4k"
105,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Search insert position",Easy,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.","https://youtu.be/6zhGS79oQ4k"
106,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Floor and Ceil in Sorted Array",Easy,"","https://www.youtube.com/watch?v=6zhGS79oQ4k&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=3"
107,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","First and last occurrence",Easy,"https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/","https://youtu.be/hjR1IYVx9lY"
108,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Count Occurrences in a Sorted Array",Easy,"","https://youtu.be/hjR1IYVx9lY"
109,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Search in rotated sorted array-I",Medium,"https://leetcode.com/problems/search-in-rotated-sorted-array/","https://www.youtube.com/watch?v=r3pMQ8-Ad5s&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=64"
110,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Search in rotated sorted array-II",Medium,"https://leetcode.com/problems/search-in-rotated-sorted-array-ii/","https://youtu.be/w2G2W8l__pc"
111,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Find minimum in Rotated Sorted Array",Easy,"https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","https://youtu.be/nhEMDKMB44g"
112,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Find out how many times the array is rotated",Easy,"","https://youtu.be/jtSiWTPLwd0"
113,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Single element in a Sorted Array",Medium,"https://leetcode.com/problems/single-element-in-a-sorted-array/","https://youtu.be/AZOmHuHadxQ"
