ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
89,"Count subarrays with given sum","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/subarray-sum-equals-k/","https://www.youtube.com/watch?v=xvNwoz-ufXA&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=32"
90,"Pascal's Triangle I","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/pascals-triangle/","https://youtu.be/bR7mQgwQ_o8"
91,"Majority Element-II","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"https://leetcode.com/problems/majority-element-ii/","https://youtu.be/vwZj1K0e9U8"
92,"3 Sum","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/3sum/","https://youtu.be/DhFh8Kw7ymk"
93,"4 Sum","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/4sum/","https://youtu.be/eD95WRfh81c"
94,"Largest Subarray with Sum 0","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"","https://www.youtube.com/watch?v=xmguZ6GbatA&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=23"
95,"Count subarrays with given xor K","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"","https://youtu.be/eZr-6p0B7ME"
96,"Merge Overlapping Subintervals","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/merge-intervals/","https://youtu.be/IexN60k62jo"
97,"Merge two sorted arrays without extra space","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/merge-sorted-array/","https://youtu.be/n7uwj04E0I4"
98,"Find the repeating and missing number","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"","https://youtu.be/2D0D8HE6uak"
99,"Count Inversions","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"","https://youtu.be/AseUmwVNaoY"
100,"Reverse Pairs","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"https://leetcode.com/problems/reverse-pairs/","https://youtu.be/0e4bZaP3MDI"
101,"Maximum Product Subarray in an Array","Solve Problems on Arrays [Easy -> Medium -> Hard]",Hard,"https://leetcode.com/problems/maximum-product-subarray/",""
102,"Search X in sorted array","Binary Search [1D, 2D Arrays, Search Space]",Easy,"https://leetcode.com/problems/binary-search/","https://youtu.be/MHf6awe89xw"
103,"Lower Bound ","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://youtu.be/6zhGS79oQ4k"
104,"Upper Bound","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://youtu.be/6zhGS79oQ4k"
105,"Search insert position","Binary Search [1D, 2D Arrays, Search Space]",Easy,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.","https://youtu.be/6zhGS79oQ4k"
106,"Floor and Ceil in Sorted Array","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://www.youtube.com/watch?v=6zhGS79oQ4k&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=3"
107,"First and last occurrence","Binary Search [1D, 2D Arrays, Search Space]",Easy,"https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/","https://youtu.be/hjR1IYVx9lY"
108,"Count Occurrences in a Sorted Array","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://youtu.be/hjR1IYVx9lY"
109,"Search in rotated sorted array-I","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/search-in-rotated-sorted-array/","https://www.youtube.com/watch?v=r3pMQ8-Ad5s&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=64"
